mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02849745750427246,0.009951664117137755,0.0019852638244628905,0.00023310000000526364,0.1,100,lbfgs,"{'C': 0.1, 'max_iter': 100, 'solver': 'lbfgs'}",0.8716216216216216,0.7891156462585034,0.8639455782312925,0.8707482993197279,0.891156462585034,0.8573175216032359,0.03528595734673659,18
0.004081916809082031,0.00041654160105812795,0.0018954753875732421,0.0003356452116249715,0.1,100,liblinear,"{'C': 0.1, 'max_iter': 100, 'solver': 'liblinear'}",0.8716216216216216,0.7959183673469388,0.8775510204081632,0.8707482993197279,0.8843537414965986,0.8600386100386099,0.03242893541095666,14
0.037725639343261716,0.0035726599994671594,0.0017191410064697266,0.0001885318247161971,0.1,200,lbfgs,"{'C': 0.1, 'max_iter': 200, 'solver': 'lbfgs'}",0.8716216216216216,0.7959183673469388,0.8775510204081632,0.8707482993197279,0.891156462585034,0.8613991542562971,0.033544057553850884,13
0.003054046630859375,0.000276239202594526,0.001377105712890625,8.736666575204356e-05,0.1,200,liblinear,"{'C': 0.1, 'max_iter': 200, 'solver': 'liblinear'}",0.8716216216216216,0.7959183673469388,0.8775510204081632,0.8707482993197279,0.8843537414965986,0.8600386100386099,0.03242893541095666,14
0.04835877418518066,0.0022664389787615167,0.001512622833251953,6.1014589182301474e-05,0.1,300,lbfgs,"{'C': 0.1, 'max_iter': 300, 'solver': 'lbfgs'}",0.8716216216216216,0.7891156462585034,0.8707482993197279,0.8707482993197279,0.891156462585034,0.858678065820923,0.03564461581204728,17
0.00305633544921875,0.00042035385968390126,0.0014410972595214843,0.00016164305632175848,0.1,300,liblinear,"{'C': 0.1, 'max_iter': 300, 'solver': 'liblinear'}",0.8716216216216216,0.7959183673469388,0.8775510204081632,0.8707482993197279,0.8843537414965986,0.8600386100386099,0.03242893541095666,14
0.018567848205566406,0.00029976706149069165,0.0015933513641357422,0.0001560164983713647,1.0,100,lbfgs,"{'C': 1, 'max_iter': 100, 'solver': 'lbfgs'}",0.8783783783783784,0.8435374149659864,0.8707482993197279,0.8775510204081632,0.9251700680272109,0.8790770362198934,0.026305197073775665,1
0.003230428695678711,0.00017217648891665243,0.0014386177062988281,0.000169366691998958,1.0,100,liblinear,"{'C': 1, 'max_iter': 100, 'solver': 'liblinear'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8775510204081632,0.9251700680272109,0.8763651406508549,0.030210175796463422,5
0.03314957618713379,0.0007008731663006575,0.0015645027160644531,9.967812896911371e-05,1.0,200,lbfgs,"{'C': 1, 'max_iter': 200, 'solver': 'lbfgs'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8775510204081632,0.9251700680272109,0.8763651406508549,0.030210175796463422,5
0.003474903106689453,0.00012690090861646383,0.0013657093048095703,0.0001286933402563422,1.0,200,liblinear,"{'C': 1, 'max_iter': 200, 'solver': 'liblinear'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8775510204081632,0.9251700680272109,0.8763651406508549,0.030210175796463422,5
0.04713735580444336,0.0013667873236360606,0.0014820098876953125,0.0001098420036427299,1.0,300,lbfgs,"{'C': 1, 'max_iter': 300, 'solver': 'lbfgs'}",0.8716216216216216,0.8231292517006803,0.8707482993197279,0.8775510204081632,0.9251700680272109,0.8736440522154808,0.03235557258736004,12
0.003102731704711914,0.0003465511078225729,0.0012815475463867187,0.00013022276997317562,1.0,300,liblinear,"{'C': 1, 'max_iter': 300, 'solver': 'liblinear'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8775510204081632,0.9251700680272109,0.8763651406508549,0.030210175796463422,5
0.018854665756225585,0.0020728202389187073,0.0015988826751708984,0.00012170322925107705,10.0,100,lbfgs,"{'C': 10, 'max_iter': 100, 'solver': 'lbfgs'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8707482993197279,0.9251700680272109,0.8750045964331677,0.030279236453929867,10
0.003726768493652344,0.00025952781276352674,0.0014621734619140625,0.000119626022536447,10.0,100,liblinear,"{'C': 10, 'max_iter': 100, 'solver': 'liblinear'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8775510204081632,0.9319727891156463,0.877725684868542,0.032447828392658716,2
0.034574460983276364,0.002546034529201449,0.0015176296234130859,5.674374203709283e-05,10.0,200,lbfgs,"{'C': 10, 'max_iter': 200, 'solver': 'lbfgs'}",0.8716216216216216,0.8231292517006803,0.8775510204081632,0.8775510204081632,0.9251700680272109,0.8750045964331677,0.03234822715409172,10
0.0037375926971435548,0.00039031929597863605,0.0014165401458740234,0.00018762240067783623,10.0,200,liblinear,"{'C': 10, 'max_iter': 200, 'solver': 'liblinear'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8775510204081632,0.9319727891156463,0.877725684868542,0.032447828392658716,2
0.04841837882995605,0.0013471064654010877,0.0015064239501953124,0.00011564206549990535,10.0,300,lbfgs,"{'C': 10, 'max_iter': 300, 'solver': 'lbfgs'}",0.8716216216216216,0.8231292517006803,0.8775510204081632,0.8775510204081632,0.9319727891156463,0.8763651406508549,0.03450096820229086,5
0.003404855728149414,0.00032657702856609685,0.0013460159301757813,0.00015724926981342506,10.0,300,liblinear,"{'C': 10, 'max_iter': 300, 'solver': 'liblinear'}",0.8716216216216216,0.8299319727891157,0.8775510204081632,0.8775510204081632,0.9319727891156463,0.877725684868542,0.032447828392658716,2
